Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
LateinitVarOverridesLateinitVar;Kotlin/Probable bugs;'lateinit var' property overrides 'lateinit var' property;kotlin;LOCAL;0.00;0.00%;0;3
CanBePrimaryConstructorProperty;Kotlin/Redundant constructs;Property is explicitly assigned to constructor parameter;kotlin;LOCAL;0.00;0.00%;0;3
CanBeVal;Kotlin/Style issues;Local 'var' is never modified and can be declared as 'val';kotlin;LOCAL;0.00;0.00%;0;3
BooleanLiteralArgument;Kotlin/Style issues;Boolean literal argument without parameter name;kotlin;LOCAL;0.00;0.00%;0;3
ObsoleteKotlinJsPackages;Kotlin/Migration;'kotlin.browser' and 'kotlin.dom' packages are deprecated since 1.4;kotlin;LOCAL;0.00;0.00%;0;3
RedundantSuspendModifier;Kotlin/Redundant constructs;Redundant 'suspend' modifier;kotlin;LOCAL;0.00;0.00%;0;3
RedundantEmptyInitializerBlock;Kotlin/Redundant constructs;Redundant empty initializer block;kotlin;LOCAL;0.00;0.00%;0;3
SuspiciousAsDynamic;Kotlin/Style issues;Suspicious 'asDynamic' member invocation;kotlin;LOCAL;0.00;0.00%;0;3
CascadeIf;Kotlin/Style issues;Cascade if can be replaced with when;kotlin;LOCAL;0.00;0.00%;0;3
SuspendFunctionOnCoroutineScope;Kotlin/Probable bugs;Ambiguous coroutineContext due to CoroutineScope receiver of suspend function;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceToWithInfixForm;Kotlin/Style issues;'to' call should be replaced with infix form;kotlin;LOCAL;0.00;0.00%;0;3
UnusedEquals;Kotlin/Probable bugs;Unused equals expression;kotlin;LOCAL;0.00;0.00%;0;3
ClassName;Kotlin/Naming conventions;Class naming convention;kotlin;LOCAL;0.00;0.00%;0;3
RemoveEmptyPrimaryConstructor;Kotlin/Redundant constructs;Redundant empty primary constructor;kotlin;LOCAL;0.00;0.00%;0;3
RedundantOverride;Kotlin/Redundant constructs;Redundant overriding method;kotlin;LOCAL;0.00;0.00%;0;3
RemoveEmptySecondaryConstructorBody;Kotlin/Redundant constructs;Redundant constructor body;kotlin;LOCAL;0.00;0.00%;0;3
WorkspaceImplAbsent;Plugin DevKit/Workspace model;Absent entity implementation;kotlin;LOCAL;0.00;0.00%;0;3
RedundantNullableReturnType;Kotlin/Redundant constructs;Redundant nullable return type;kotlin;LOCAL;0.00;0.00%;0;3
CovariantEquals;Kotlin/Probable bugs;Covariant 'equals()';kotlin;LOCAL;0.00;0.00%;0;3
MayBeConstant;Kotlin/Style issues;Might be 'const';kotlin;LOCAL;0.00;0.00%;0;3
RemoveExplicitSuperQualifier;Kotlin/Redundant constructs;Unnecessary supertype qualification;kotlin;LOCAL;0.00;0.00%;0;3
RedundantExplicitType;Kotlin/Redundant constructs;Obvious explicit type;kotlin;LOCAL;0.00;0.00%;0;3
EqualsOrHashCode;Kotlin/Probable bugs;'equals()' and 'hashCode()' not paired;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceArrayEqualityOpWithArraysEquals;Kotlin/Probable bugs;Arrays comparison via '==' and '!=';kotlin;LOCAL;0.00;0.00%;0;3
IfThenToSafeAccess;Kotlin/Style issues;If-Then foldable to '?.';kotlin;LOCAL;0.00;0.00%;0;3
RedundantIf;Kotlin/Redundant constructs;Redundant 'if' statement;kotlin;LOCAL;0.00;0.00%;0;3
MoveVariableDeclarationIntoWhen;Kotlin/Style issues;Variable declaration could be moved inside 'when';kotlin;LOCAL;0.00;0.00%;0;3
FoldInitializerAndIfToElvis;Kotlin/Style issues;If-Null return/break/... foldable to '?:';kotlin;LOCAL;0.00;0.00%;0;3
RedundantModalityModifier;Kotlin/Redundant constructs;Redundant modality modifier;kotlin;LOCAL;0.00;0.00%;0;3
LeakingThis;Kotlin/Probable bugs;Leaking 'this' in constructor;kotlin;LOCAL;0.00;0.00%;0;3
SelfReferenceConstructorParameter;Kotlin/Probable bugs;Constructor can never be complete;kotlin;LOCAL;0.00;0.00%;0;3
ReplacePutWithAssignment;Kotlin/Style issues;'map.put()' can be converted to assignment;kotlin;LOCAL;0.00;0.00%;0;3
ConvertTwoComparisonsToRangeCheck;Kotlin/Style issues;Two comparisons should be converted to a range check;kotlin;LOCAL;0.00;0.00%;0;3
LocalVariableName;Kotlin/Naming conventions;Local variable naming convention;kotlin;LOCAL;0.00;0.00%;0;3
UselessCallOnCollection;Kotlin/Probable bugs;Useless call on collection type;kotlin;LOCAL;0.00;0.00%;0;3
RemoveCurlyBracesFromTemplate;Kotlin/Redundant constructs;Redundant curly braces in string template;kotlin;LOCAL;0.00;0.00%;0;3
DeprecatedCallableAddReplaceWith;Kotlin/Other problems;@Deprecated annotation without 'replaceWith' argument;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceAssertBooleanWithAssertEquality;Kotlin/Style issues;Assert boolean could be replaced with assert equality;kotlin;LOCAL;0.00;0.00%;0;3
ObjectPropertyName;Kotlin/Naming conventions;Object property naming convention;kotlin;LOCAL;0.00;0.00%;0;3
RemoveToStringInStringTemplate;Kotlin/Redundant constructs;Redundant call to 'toString()' in string template;kotlin;LOCAL;0.00;0.00%;0;3
